vehicle_id,date,distance_km,fuel_used_liters,fuel_price_per_liter
ST-4321-CD,26-01-2026,195.6,13.67,1.48
ST-4321-CD,29-01-2026,184.0,13.05,1.51
ST-4321-CD,09-02-2026,219.7,15.55,1.55
ST-4321-CD,13-02-2026,95.5,6.55,1.50
ST-4321-CD,03-03-2026,204.6,13.72,1.55
ST-9900-VV,02-02-2026,120.2,14.09,1.55
ST-9900-VV,04-02-2026,211.5,20.85,1.52
ST-9900-VV,06-02-2026,235.3,26.07,1.53
ST-9900-VV,08-02-2026,96.4,10.52,1.50
ST-9900-VV,11-02-2026,258.0,26.90,1.57
ST-9900-VV,16-02-2026,236.9,22.81,1.61
ST-9900-VV,20-02-2026,86.5,9.92,1.55
VK-3109-UV,15-01-2026,116.8,7.25,1.47
VK-3109-UV,18-01-2026,199.5,13.13,1.47
VK-3109-UV,23-01-2026,204.0,13.67,1.43
VK-3109-UV,04-02-2026,106.0,7.25,1.51
VK-3109-UV,07-02-2026,180.1,11.85,1.50
VK-3109-UV,13-02-2026,98.2,6.20,1.49
VK-3109-UV,28-02-2026,111.1,7.35,1.62
ZD-7531-MN,15-01-2026,152.7,11.02,1.47
ZD-7531-MN,21-01-2026,100.3,7.13,1.43
ZD-7531-MN,22-01-2026,226.8,15.67,1.43
ZD-7531-MN,30-01-2026,55.4,3.75,1.53
ZD-7531-MN,01-02-2026,132.8,8.81,1.47
ZD-7531-MN,09-02-2026,163.0,11.35,1.51
ZD-7531-MN,16-02-2026,69.0,4.85,1.57
ZG-1234-AB,17-01-2026,123.7,7.51,1.43
ZG-1234-AB,19-01-2026,134.1,8.44,1.43
ZG-1234-AB,01-02-2026,169.1,10.37,1.52
ZG-1234-AB,02-02-2026,177.6,10.81,1.52
ZG-1234-AB,06-02-2026,129.4,8.08,1.44
ZG-1234-AB,19-02-2026,78.6,4.99,1.54
ZG-1234-AB,21-02-2026,214.6,12.99,1.55
ZG-5566-EL,20-01-2026,253.3,17.79,1.45
ZG-5566-EL,31-01-2026,174.7,12.25,1.52
ZG-5566-EL,06-02-2026,232.6,15.43,1.50
ZG-5566-EL,14-02-2026,174.0,12.75,1.54
ZG-5566-EL,22-02-2026,213.5,14.71,1.60
ZG-5566-EL,25-02-2026,158.0,11.76,1.54
ZG-5566-EL,27-02-2026,186.7,13.51,1.55
ČK-9087-WX,20-01-2026,114.7,6.86,1.45
ČK-9087-WX,22-01-2026,202.0,12.12,1.45
ČK-9087-WX,29-01-2026,99.0,5.68,1.46
ČK-9087-WX,02-02-2026,234.4,14.80,1.52
ČK-9087-WX,12-02-2026,151.0,9.09,1.50
ČK-9087-WX,04-03-2026,130.2,7.62,1.60
ČK-9087-WX,18-03-2026,92.6,5.73,1.52
ŠI-7744-YZ,19-01-2026,143.1,15.34,1.50
ŠI-7744-YZ,21-01-2026,191.0,17.71,1.43
ŠI-7744-YZ,10-02-2026,237.2,24.35,1.50
ŠI-7744-YZ,15-02-2026,158.6,17.01,1.54
ŠI-7744-YZ,01-03-2026,214.6,22.92,1.57
ŠI-7744-YZ,04-03-2026,225.0,22.75,1.58
ŠI-7744-YZ,09-03-2026,147.6,13.69,1.54
VŽ-1023-AA,18-01-2026,142.0,8.38,1.47
VŽ-1023-AA,26-01-2026,198.5,11.72,1.49
VŽ-1023-AA,04-02-2026,87.6,5.16,1.45
VŽ-1023-AA,12-02-2026,221.4,13.05,1.52
VŽ-8844-BB,19-01-2026,156.7,9.09,1.46
VŽ-8844-BB,27-01-2026,209.1,12.33,1.50
VŽ-8844-BB,05-02-2026,94.2,5.53,1.44
VŽ-8844-BB,13-02-2026,231.8,13.67,1.53
OG-3311-CC,18-01-2026,164.4,10.19,1.48
OG-3311-CC,26-01-2026,192.6,11.93,1.49
OG-3311-CC,04-02-2026,81.5,5.06,1.45
OG-3311-CC,12-02-2026,218.7,13.56,1.51
SK-4499-DD,17-01-2026,148.3,9.05,1.46
SK-4499-DD,25-01-2026,201.4,12.29,1.49
SK-4499-DD,03-02-2026,96.1,5.86,1.45
SK-4499-DD,11-02-2026,226.9,13.85,1.52
SL-5702-EE,18-01-2026,159.6,9.74,1.47
SL-5702-EE,26-01-2026,187.2,11.42,1.48
SL-5702-EE,04-02-2026,88.9,5.42,1.44
SL-5702-EE,12-02-2026,234.1,14.28,1.53
PŽ-6614-FF,19-01-2026,171.5,10.46,1.48
PŽ-6614-FF,28-01-2026,195.8,11.94,1.50
PŽ-6614-FF,06-02-2026,104.3,6.36,1.46
PŽ-6614-FF,14-02-2026,219.7,13.40,1.52
KŽ-7741-GG,18-01-2026,145.9,8.76,1.46
KŽ-7741-GG,26-01-2026,204.3,12.26,1.49
KŽ-7741-GG,04-02-2026,90.4,5.42,1.45
KŽ-7741-GG,12-02-2026,228.8,13.73,1.51
OG-8820-HH,17-01-2026,152.4,9.44,1.47
OG-8820-HH,25-01-2026,189.7,11.76,1.48
OG-8820-HH,03-02-2026,97.3,6.02,1.46
OG-8820-HH,11-02-2026,214.6,13.29,1.52
VT-9913-II,18-01-2026,161.8,9.87,1.47
VT-9913-II,26-01-2026,197.6,12.06,1.49
VT-9913-II,04-02-2026,85.7,5.23,1.45
VT-9913-II,12-02-2026,223.9,13.67,1.51
VU-4430-JJ,19-01-2026,168.2,10.42,1.48
VU-4430-JJ,28-01-2026,191.5,11.87,1.50
VU-4430-JJ,06-02-2026,101.4,6.28,1.46
VU-4430-JJ,14-02-2026,217.3,13.47,1.52
ŽU-3307-KK,18-01-2026,149.8,9.14,1.47
ŽU-3307-KK,26-01-2026,206.7,12.61,1.49
ŽU-3307-KK,04-02-2026,92.1,5.61,1.45
ŽU-3307-KK,12-02-2026,229.4,13.98,1.52
